,Position,Total_Playtime
Action,1,308031425
Indie,2,149668460
RPG,3,104706002
Adventure,4,90976514
Simulation,5,87269928
Strategy,6,65445185
Free to Play,7,60416106
Massively Multiplayer,8,44850584
Casual,9,26418670
Early Access,10,15735597
Sports,11,6625000
Racing,12,6320647
Design &amp; Illustration,13,509952
Utilities,14,378625
Video Production,15,362073
Animation &amp; Modeling,16,358921
Web Publishing,17,167477
Audio Production,18,31149
Software Training,19,21567
Education,20,16489
Photo Editing,21,3178
Accounting,22,0
item_id,23,0
